epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/l1_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/l1_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
76,400.571,0.3495,0.33174,0.22021,0.00231,0.06111,0.96141,0.92941,0.94799,0.90218,0.96749,0.93529,0.96589,0.87864,0.40086,0.52775,0.3664,0.00324,0,0.000515,0.000515,0.000515
77,405.665,0.33218,0.33603,0.21013,0.00229,0.07511,0.99709,0.90588,0.949,0.9034,0.96944,0.93301,0.96684,0.88791,0.42144,0.5417,0.35709,0.00346,0,0.0004952,0.0004952,0.0004952
78,410.816,0.35028,0.35846,0.20621,0.0023,0.05943,0.96043,0.92353,0.947,0.90133,0.96043,0.92353,0.94751,0.86266,0.40156,0.54514,0.38193,0.00316,0,0.0004754,0.0004754,0.0004754
79,415.908,0.34366,0.33899,0.24121,0.0022,0.23805,0.96255,0.92353,0.94922,0.90889,0.96868,0.92941,0.95595,0.88111,0.39783,0.52768,0.37959,0.00332,0,0.0004556,0.0004556,0.0004556
80,420.983,0.35588,0.34094,0.20458,0.00245,0.0678,0.97366,0.92353,0.9497,0.90833,0.98612,0.93529,0.9621,0.8929,0.39702,0.5164,0.33067,0.00311,0,0.0004358,0.0004358,0.0004358
81,426.121,0.34099,0.34027,0.20583,0.00228,0.07039,0.95641,0.92941,0.9479,0.90164,0.95776,0.93365,0.95714,0.87783,0.41678,0.50626,0.38077,0.00346,0,0.000416,0.000416,0.000416
82,431.327,0.34276,0.33143,0.20949,0.00233,0.07339,0.95689,0.91405,0.94734,0.90307,0.95689,0.91405,0.95611,0.88634,0.39792,0.49249,0.39658,0.00358,0,0.0003962,0.0003962,0.0003962
83,436.529,0.33198,0.32585,0.19636,0.00227,0.08818,0.97145,0.92941,0.94854,0.9084,0.97529,0.94118,0.96136,0.89245,0.40368,0.50038,0.36964,0.00317,0,0.0003764,0.0003764,0.0003764
84,441.634,0.33495,0.31706,0.19598,0.00227,0.11899,0.92099,0.94118,0.9467,0.90892,0.93261,0.95294,0.96616,0.8875,0.38107,0.49487,0.37609,0.00301,0,0.0003566,0.0003566,0.0003566
85,446.812,0.33718,0.35502,0.19742,0.00215,0.06526,0.98737,0.91993,0.94978,0.90543,0.99369,0.92582,0.96851,0.89589,0.41019,0.50537,0.34336,0.00328,0,0.0003368,0.0003368,0.0003368
86,452.063,0.34738,0.35213,0.20101,0.00225,0.062,0.96606,0.94118,0.95445,0.90805,0.9721,0.94706,0.96919,0.89031,0.37959,0.4959,0.32926,0.0029,0,0.000317,0.000317,0.000317
87,457.268,0.35859,0.33685,0.21055,0.00232,0.06295,0.96435,0.94118,0.94933,0.90848,0.97076,0.94706,0.96738,0.89823,0.3794,0.49481,0.33847,0.00292,0,0.0002972,0.0002972,0.0002972
88,462.476,0.35246,0.36057,0.20174,0.00217,0.06407,0.96909,0.92219,0.94819,0.90637,0.97527,0.928,0.96559,0.88902,0.40579,0.51531,0.35468,0.00327,0,0.0002774,0.0002774,0.0002774
89,467.652,0.32542,0.32969,0.19467,0.00214,0.05991,0.96306,0.92014,0.9478,0.9131,0.96922,0.92602,0.96394,0.8902,0.35068,0.52069,0.33675,0.00267,0,0.0002576,0.0002576,0.0002576
90,472.836,0.34019,0.32249,0.21173,0.00233,0.08199,0.93943,0.92941,0.94585,0.90482,0.94538,0.93529,0.96237,0.88215,0.40221,0.50547,0.36022,0.00319,0,0.0002378,0.0002378,0.0002378
91,479.67,0.26995,0.28895,0.15136,0.00226,0.05902,0.95184,0.93006,0.9481,0.90322,0.95785,0.93573,0.96463,0.88771,0.39583,0.51649,0.3539,0.0031,0,0.000218,0.000218,0.000218
92,484.733,0.26474,0.27515,0.14868,0.00229,0.04626,0.98131,0.92659,0.95038,0.91257,0.98754,0.93247,0.96906,0.88261,0.38961,0.51718,0.33281,0.00304,0,0.0001982,0.0001982,0.0001982
93,489.779,0.24695,0.25384,0.1369,0.00216,0.05025,0.97527,0.9281,0.9506,0.91276,0.98143,0.9328,0.9696,0.88633,0.3813,0.5136,0.33626,0.00306,0,0.0001784,0.0001784,0.0001784
94,494.806,0.25858,0.27385,0.13923,0.00225,0.05527,0.97531,0.92936,0.9508,0.91456,0.98148,0.93517,0.96958,0.88748,0.38215,0.5149,0.35007,0.00304,0,0.0001586,0.0001586,0.0001586
95,499.849,0.2549,0.25563,0.1362,0.00228,0.04801,0.98122,0.92202,0.95638,0.90937,0.98748,0.92778,0.969,0.88518,0.4013,0.51093,0.34109,0.00321,0,0.0001388,0.0001388,0.0001388
96,504.947,0.25242,0.2512,0.15655,0.00222,0.04877,0.96922,0.92941,0.95609,0.90768,0.97536,0.93529,0.96867,0.88887,0.37795,0.51075,0.33856,0.00293,0,0.000119,0.000119,0.000119
97,509.959,0.25192,0.26584,0.13494,0.00222,0.04945,0.97502,0.91857,0.95573,0.91347,0.98126,0.92428,0.96794,0.88345,0.37968,0.50584,0.33788,0.00296,0,9.92e-05,9.92e-05,9.92e-05
98,515.008,0.25169,0.25965,0.13896,0.00199,0.16659,0.96799,0.92941,0.95565,0.91471,0.97412,0.93529,0.9683,0.88374,0.36615,0.50718,0.33355,0.00284,0,7.94e-05,7.94e-05,7.94e-05
99,519.998,0.24876,0.25577,0.14167,0.00217,0.05074,0.98111,0.91666,0.95529,0.913,0.98741,0.92254,0.968,0.88118,0.35595,0.50637,0.34318,0.00264,0,5.96e-05,5.96e-05,5.96e-05
100,525.003,0.25421,0.27403,0.15015,0.00214,0.05956,0.97528,0.92827,0.95541,0.91323,0.98146,0.93408,0.96798,0.88253,0.35521,0.50595,0.33896,0.00267,0,3.98e-05,3.98e-05,3.98e-05
